hebrew_name,lat,lng
תל אביב - יפו,32.08,34.78
ירושלים,31.7789,35.2256
חיפה,32.8192,34.9992
רישון לציון,31.95,34.8
פתח תקווה,32.0889,34.8864
אשדוד,31.8,34.65
נתניה,32.3286,34.8567
באר שבע,31.2589,34.7997
חולון,32.0167,34.7667
בני ברק,32.0833,34.8333
רמת גן,32.07,34.8236
אשקלון,31.6667,34.5667
רחובות,31.8969,34.8167
בת ים,32.0167,34.75
בית שמש,31.7456,34.9867
כפר סבא,32.1714,34.9083
מודיעין,31.9077,35.0076
חדרה,32.45,34.9167
הרצליה,32.1653,34.8458
נצרת,32.7019,35.3033
לוד,31.9519,34.8881
רמלה,31.9275,34.8625
רעננה,32.1833,34.8667
קרית גת,31.6061,34.7717
רהט,31.3925,34.7544
עפולה,32.6064,35.2881
נהרייה,33.0058,35.0989
גבעתיים,32.0714,34.81
הוד השרון,32.15,34.8833
ראש העין,32.0956,34.9567
קרית עתע,32.8,35.1
אום אל פחם,32.5194,35.1536
אילת,29.5,34.92
נס ציונה,31.9333,34.8
עכו,32.9278,35.0817
אלעד,32.0522,34.9511
רמת השרון,32.15,34.8333
כרמיאל,32.9136,35.2961
טבריה,32.7944,35.5333
בן זכאי,31.8558,34.73
פרדס חנה,32.4711,34.9675
קרית אונו,32.0636,34.8553
שפרעם,32.8056,35.1694
קרית ביאליק,32.8333,35.0833
קרית ים,32.8333,35.0667
אור יהודה,32.0306,34.8533
צפת,32.9658,35.4983
דימונה,31.0667,35.0333
תמרה,32.8536,35.1978
נתיבות,31.4167,34.5833
סכנין,32.8667,35.3
באר יעקוב,31.9425,34.8336
יהוד,32.0333,34.8833
אופקים,31.3167,34.6167
כפר יונה,32.3171,34.9358
גדרה,31.8119,34.7772
מגדל העמק,32.6714,35.2406
גבעת שמואל,32.0781,34.8475
ערד,31.2611,35.2153
יוקנעם עילית,32.6594,35.11
נשר,32.7711,35.0394
מעלות תרשישה,33.0167,35.2708
קרית מלאכי,31.7292,34.7461
שדרות,31.5228,34.5953
קרית שמונה,33.2075,35.5697
גן יבנה,31.7822,34.7053
טירת כרמל,32.7667,34.9667
כפר קאסם,32.1151,34.9751
בית שאן,32.5,35.5
אור עקיבה,32.5,34.9167
