RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,UniqueStations,UniqueLocations,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q
10003,3,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,3.3,39.66,15.1,12,מעל שנה וחצי,,,2,12,101.5,598.5,49.9,,,50.8,,,,,,,45.5,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
10006,6,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,8.4,84.2,1.0,21,מעל שנה וחצי,1.0,,2,10,13.6,84.9,8.5,,,8.5,,,,,,,8.4,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
10006,6,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,12.3,1317.28,0.7,34,מעל שנה וחצי,12.0,,19,107,154.1,893.7,8.4,,0.0,9.5,12.7,12.4,5.0,1.9,,1.0,8.7,12.5,11.5,,,,,,,,,,ימי חול - 09:00-11:59,2022,4
10007,7,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,נשר,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,4.7,288.9,1.6,8,מעל שנה וחצי,,,11,61,85.1,452.0,7.4,,3.8,10.1,,4.0,3.2,,,,4.6,,,0.0,,,,,,,,,ימי חול - 06:00-08:59,2022,4
10007,7,2,אגד,חיפה עירוני,מטרופולין חיפה,נשר,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,3.7,229.34,1.2,8,מעל שנה וחצי,,,11,62,46.4,270.1,4.4,,,,,5.1,7.2,2.8,,,,,5.4,,,,,,,,,,ימי חול - 15:00-18:59,2022,4
10008,8,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,5.9,61.34,7.8,22,מעל שנה וחצי,,,2,12,79.9,476.9,39.7,,,40.0,,,,,,,38.7,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
10008,8,2,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,5.9,99.6,5.5,20,מעל שנה וחצי,,,3,17,98.2,544.0,32.0,,,,,32.7,,,,,,53.0,0.0,,,,,,,,,,שישי - 09:00-11:59,2022,4
10010,10,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.2,1830.99,1.8,35,מעל שנה וחצי,7.0,,32,179,590.5999999999999,3310.8,18.5,,,11.0,21.7,33.8,16.4,10.3,,,12.3,22.7,27.8,,,,,,,,,4.5,ימי חול - 12:00-14:59,2022,4
10012,12,1,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ביאליק,קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.8,6425.59,2.0,47,מעל שנה וחצי,3.0,,66,383,2244.5,12617.2,32.9,,6.3,35.5,41.9,59.1,24.7,19.1,,6.4,25.8,37.1,41.7,7.4,,,,,,,13.7,14.8,ימי חול - 12:00-14:59,2022,4
10012,12,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ים,קרית ביאליק,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.9,6547.5,2.1,46,מעל שנה וחצי,3.0,,67,388,2399.4,13532.2,34.9,,6.9,29.1,47.3,65.9,30.1,16.6,,7.6,24.0,44.3,47.1,5.1,,,,,,,21.0,13.3,ימי חול - 12:00-14:59,2022,4
