RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,UniqueStations,UniqueLocations,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q
10003,3,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,3.3,39.7,15.3,12,מעל שנה וחצי,,,15.99,12.38,1.47,2.0,12,100.7,608.0,50.7,,,50.4,,,,,,,52.2,,,,,,,,,,,,שישי - 06:00-08:59,2024,1
10006,6,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,8.4,84.2,2.3,21,מעל שנה וחצי,3.0,,10.7,47.1,14.87,2.0,10,33.6,190.1,19.0,,,16.8,,,,,,,11.0,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,1
10006,6,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,12.3,1317.3,0.6,34,מעל שנה וחצי,14.0,,14.73,50.1,37.93,19.0,107,150.0,848.0,7.9,,0.0,11.9,10.9,13.8,4.1,2.0,,0.3,8.9,9.8,7.9,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10007,7,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,נשר,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,4.7,288.9,1.6,8,מעל שנה וחצי,,,23.73,11.88,9.17,11.0,61,90.1,474.4,7.8,,0.7,11.2,,4.8,3.0,,,,4.0,,,2.8,,,,,,,,,ימי חול - 06:00-08:59,2024,1
10007,7,2,אגד,חיפה עירוני,מטרופולין חיפה,נשר,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,3.7,229.3,1.6,8,מעל שנה וחצי,,,12.72,17.45,17.71,11.0,62,62.2,366.5,5.9,,,,,6.0,10.2,3.6,,,,,7.9,,,,,,,,,,ימי חול - 15:00-18:59,2024,1
10008,8,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,5.9,61.3,9.0,22,מעל שנה וחצי,,,17.71,19.99,2.61,2.0,12,91.2,552.4,46.0,,,45.6,,,,,,,48.2,,,,,,,,,,,,שישי - 06:00-08:59,2024,1
10008,8,2,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,5.9,99.6,5.4,20,מעל שנה וחצי,,,18.14,19.51,3.71,3.0,17,101.9,536.9,31.6,,,,,34.0,,,,,,27.2,0.2,,,,,,,,,,ימי חול - 12:00-14:59,2024,1
10010,10,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.2,1832.6,1.6,36,מעל שנה וחצי,5.0,,11.44,53.5,19.63,32.0,179,524.7,2926.4,16.3,,,8.4,19.3,33.1,12.8,9.3,,,9.9,20.7,21.7,,,,,,,,,4.8,ימי חול - 12:00-14:59,2024,1
10012,12,1,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ביאליק,קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,17.0,7348.4,2.0,48,מעל שנה וחצי,3.0,,17.97,56.76,9.95,76.0,433,2667.0,14824.6,34.2,,5.0,40.5,37.3,61.2,26.4,17.9,,7.9,30.3,36.4,45.0,10.2,,,,,,,15.2,15.2,ימי חול - 12:00-14:59,2024,1
10012,12,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ים,קרית ביאליק,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.9,7222.5,2.0,46,מעל שנה וחצי,3.0,,19.96,50.8,9.26,75.0,428,2520.0,14092.7,32.9,,6.8,30.0,39.2,58.2,27.5,16.3,,10.0,24.4,42.2,46.7,5.7,,,,,,,16.2,13.2,ימי חול - 12:00-14:59,2024,1
