עמודה,תיאור,count,mean,std,min,25%,50%,75%,max
RouteID,מקט קו: חמש ספרות המייצגות את מקט הקו בהתאם לרישוי,21538,22593.66413,16304.52864,10003,11451,16031,27111,99005
RouteName,קו: 1-3 ספרות המייתגות את מספר הקו בהתאם לרישוי,21538,213.628842,253.18169,1,33,90,321,999
RouteDirection,"כיוון: ספרה (1,2,3) המייצגת את כיוון הנסיעה של הקו ממוצא ליעד בהתאם לרישוי",21538,1.566719287,0.581182706,1,1,2,2,3
AgencyName,מפעיל: שם המפעיל האחראי על הקו בהתאם לרישוי,,,,,,,,
ClusterName,אשכול: שם האשכול לו משויך הקו בהתאם לרישוי,,,,,,,,
Metropolin,מחוז: שם המחוז לו משויך הקו בהתאם לרישוי,,,,,,,,
OriginCityName,יישוב מוצא: היישוב בו נמצאת התחנה הראשונה בחלופה הראשית באותו קו-כיוון בהתאם לרישוי,,,,,,,,
DestinationCityName,ישוב יעד: היישוב בו נמצאת התחנה האחרונה בחלופה הראשית באותו קו-כיוון בהתאם לרישוי,,,,,,,,
RouteType,סוג הקו: המוגדר ברישוי (עירוני/איזורי/בינעירוני) בהתאם לרישוי,,,,,,,,
ServiceType,"סוג השירות: המוגדר לקו (מאסף, מהיר, ישיר וכו'*) בהתאם לרישוי",,,,,,,,
RouteParticular,"ייחודיות שירות: סדיר, תלמידים, עונתי, לילה בהתאם לרישוי",,,,,,,,
BusType,"סוג אוטובוס: עירוני, בינעירוני בהתאם הרישוי",,,,,,,,
BusSize,"גודל אוטובוס: מיניבוס, מידיבוס, אוטובוס, מפרקי בהתאם לרישוי",,,,,,,,
NumOfAlternatives,"מספר החלופות: בעלות לו""ז פעיל באותו קו כיוון בהתאם לרישוי",21538,1.301049308,0.938761905,1,1,1,1,42
RouteLength,"אורך המסלול בק""מ : של החלופה עם מספר הנסיעות השבועיות הגבוה ביותר מתוך החלופות באותו קו-כיוון בהתאם לרישוי",21538,33.87291299,40.01817797,0.6,11.8,21.4,40.2,446.2
WeeklyKM,"ק""מ שבועי: היקף הק""מ השבועי המבוצע בכל חלופות ונסיעות הקו בהתאם לרישוי",21538,2666.94688,3403.313842,2.75,345.5075,1522.82,3669.59,31307.73
AVGPassengersPerWeek,"ממוצע נוסעים לקו: חישוב של מספר הנוסעים השבועי חלקי הק""מ השבועי המושקע בקו",21530,1.149173247,7.309482986,0,0.2,0.5,1.4,1017.3
StationsInRoute,"מספר תחנות בקו: מספר התחנות בחלופה עם מספר הנסיעות השבועיות הגבוה ביותר, בהתאם לנספח 3 מהרישוי",21538,33.6647321,15.86667303,1,22,32,43,113
OperationSince,"הפעלת הקו: חיווי ותק הקו, מספר החודשים שפועל הקו עד שנה וחצי ולאחר מכן הכיתוב ""מעל שנה וחצי""",,,,,,,,
UniqueStations,תחנות שקו זה משרת בבלעדיות: מספר התחנות בהן לפי הרישוי לא עוצר אף קו אחר למעט קו זה (ניתוח נספח 3),7023,6.219991457,7.583627686,1,1,3,8,70
UniqueLocations,יישובים שקו זה משרת בבלעדיות : ציון יישובים בדרכו של הקו שלא משורתים על ידי אך קו אחר למעט קו זה (ניתוח נספח 3),,,,,,,,
